PRODUCTO;Modelo ;Descripcion ;Proveedor ;;Quantity;Price USD
ID-00005270;4303;EXTENCION HEXAG. 100M C/ MECHA GUIA;BREMEN TOOLS ARGENTINA S.A.;BREMEN;0;0,00
ID-00005271;4305;EXTENSION HEXAGONAL 430MM C/MECHA GUIA;BREMEN TOOLS ARGENTINA S.A.;BREMEN;0;0,00
ID-00005272;113249;TRABADOR PASA RESORTE Nº4;PROCOM;SC METALURGICA;12;4,23
ID-00005273;5208;ADAPTADOR 1/4 HEXAGONAL X 1/4 (MACHO 30M;BREMEN TOOLS ARGENTINA S.A.;BREMEN;5;3,75
ID-00005274;5406;"ADAPTADOR PARA IMPAC. 1""HEM. X3/4 MACH";BREMEN TOOLS ARGENTINA S.A.;BREMEN;1;18,49
ID-00005275;5830;ADAPTADOR P/ IMPACTO 3/8 HEMB *1/2 MACHO;BREMEN TOOLS ARGENTINA S.A.;BREMEN;2;2,13
ID-00005276;5831;ADAPTADOR P/ IMPACTO 1/2 HEMBRA * 3/8 MA;BREMEN TOOLS ARGENTINA S.A.;BREMEN;2;2,13
ID-00005277;5902;MOVIMIENTO UNIV. PARA IMPACTO ENC 1/2;BREMEN TOOLS ARGENTINA S.A.;BREMEN;1;2,93
ID-00005278;6424;PINZA SACABOCADO;BREMEN TOOLS ARGENTINA S.A.;BREMEN;2;11,45
ID-00005279;7042;ALICATE CORTE OBLICUO;BREMEN TOOLS ARGENTINA S.A.;BREMEN;1;1,11
ID-00005280;7047;PICO DE LORO;BREMEN TOOLS ARGENTINA S.A.;BREMEN;0;0,00
ID-00005281;7278;GRAMPAS 16MM P/ENGRAMP.NEUMATICA;BREMEN TOOLS ARGENTINA S.A.;BREMEN;0;0,00
ID-00005282;7443;BOQUILLA MAGNETICA  1/4 X65MM;BREMEN TOOLS ARGENTINA S.A.;BREMEN;4;6,00
ID-00005283;7446;BOQUILLA MAGNETICA 7/16 C45MM;BREMEN TOOLS ARGENTINA S.A.;BREMEN;0;0,00
ID-00005284;7449;BOQUILLA MAGNETICA 1/2X 65MM;BREMEN TOOLS ARGENTINA S.A.;BREMEN;1;0,52
ID-00005285;7471;REMACHADORA NEUMATICA;BREMEN TOOLS ARGENTINA S.A.;BREMEN;0;0,00
ID-00005286;7547;TRIPODE BREMEN;BREMEN TOOLS ARGENTINA S.A.;BREMEN;0;0,00
ID-00005287;7574;HOJA DE LIJA AL AGUA G400;BREMEN TOOLS ARGENTINA S.A.;BREMEN;14;3,82
ID-00005288;7577;HOJA DE LIJA AL AGUA G1000;BREMEN TOOLS ARGENTINA S.A.;BREMEN;45;18,02
ID-00005289;;;;;0;0,00
ID-00005290;;;;;0;0,00
ID-00005291;7579;HOJA DE LIJA AL AGUA  G1500;BREMEN TOOLS ARGENTINA S.A.;BREMEN;25;10,08
ID-00005292;7580;HOJA DE LIJA AL AGUA G2000;BREMEN TOOLS ARGENTINA S.A.;BREMEN;51;20,57
ID-00005293;7583;HOJA DE LIJA ANTI-EMPASTE G100;BREMEN TOOLS ARGENTINA S.A.;BREMEN;48;25,54
ID-00005294;7584;HOJA DE LIJA ANTI-EMPASTE G120;BREMEN TOOLS ARGENTINA S.A.;BREMEN;6;5,32
ID-00005295;TTF06050;TIRAFONDO HEXAGONAL 1/4 X 2;BREMEN TOOLS ARGENTINA S.A.;BREMEN;400;4,91
ID-00005296;7605;DISCO DE LIJA ANTI-EMP G120 /LIJAD ORB 5;BREMEN TOOLS ARGENTINA S.A.;BREMEN;19;1,94
ID-00005297;BNC08044;BULON HEXAG. 5/16 X 3-1/2;BREMEN TOOLS ARGENTINA S.A.;BREMEN;250;1,89
ID-00005298;BNC08090;BULON HEXAG. 5/16 X 3 1/2;BREMEN TOOLS ARGENTINA S.A.;BREMEN;140;5,16
ID-00005299;TAMA06001;TUERCA AUTOF. 6X1.00;BREMEN TOOLS ARGENTINA S.A.;BREMEN;986;6,35
ID-00005300;TFM08013;TORNILLO AUTOPE. FLANGEADA MECHA  8X1/2;BREMEN TOOLS ARGENTINA S.A.;BREMEN;2655;87,68
ID-00005301;TFM08025;TORNILLO AUTOP. FLANEADA MECHA 8X1;BREMEN TOOLS ARGENTINA S.A.;BREMEN;230;10,49
ID-00005302;TTF05063;TIRAFONDO HEXAGONAL 3/16 X 2-1/2;BREMEN TOOLS ARGENTINA S.A.;BREMEN;500;5,45
ID-00005303;114120;MOSQUETON C/GIRAT. Y TRAB 10mm x 180MM;PROCOM;SIN RAMO;5;33,67
ID-00005304;38014;PERFORADORA DE AZULEJOS ZONTA;DELLA VALLE Y CIA SRL;ZONTA;0;0,00
ID-00005305;BB26;CEPILLO BROCHA 1/4 26MM;GACINOL S.R.L;HAMILTON;2;3063,48
ID-00005306;KIT200-14;REPUESTO P/ PISTOLA DE PINTAR;GACINOL S.R.L;HAMILTON;0;0,00
ID-00005307;HCO19;CARRETILLA IS-FRA X 100L C/RUEDA NEUMAT;BIOSA ARIEL A;IS-FRA;5;609,60
ID-00005308;4258545;MEZCLADOR DE PINTURA 1200W EINHELL;ITURRIA S.A;EINHELL;1;32,65
ID-00005309;182;PINCEL 1.5 - LINEA PROFESIONAL;MARTINEZ ALEJANDRO;KUSHIRO;26;78207,59
ID-00005310;183;PINCEL 2 - LINEA PROFESIONAL;MARTINEZ ALEJANDRO;KUSHIRO;7;27071,30
ID-00005311;184;PINCEL 2.5 - LINEA PROFESIONAL;MARTINEZ ALEJANDRO;KUSHIRO;33;52183,29
ID-00005312;523;PISTOLA DE SUCCION 1L;MARTINEZ ALEJANDRO;KUSHIRO;1;2750,10
ID-00005313;281;LAPIZ CARPINTERO X12U;MARTINEZ ALEJANDRO;KUSHIRO;2;1550,37
ID-00005314;39800011398;PILAS D2 POR UNIDAD;ITURRIA S.A;ENERGIZER;1;4,20
ID-00005315;;ALQUILER DE MAQUINARIA POR HORA;SIN PROVEDOR;SIN RAMO;190;4107,19
ID-00005316;E02028;BATERIA 9V DURACEL;ANGAR DISTRIBUCIONES;ENERGIZER;2;10193,79
ID-00005317;163;LINTERNA DE CABEZA COB RECARGABLE;MARTINEZ ALEJANDRO;KUSHIRO;8;89378,26
ID-00005318;10;LAMPARA LED BULB EMERGE 8W;MARTINEZ ALEJANDRO;KUSHIRO;9;9064,99
ID-00005319;258;CINTA METRICA 5MTS AZUL;MARTINEZ ALEJANDRO;KUSHIRO;13;64799,51
ID-00005320;343;LIJADORA ORBITAL;MARTINEZ ALEJANDRO;BAROVO;5;193179,61
ID-00005321;267;REFLECTOR SOLAR C/SENSOR CAJA VERDE;MARTINEZ ALEJANDRO;SIN RAMO;3;14953,67
ID-00005322;350;PISTOLA DE CALOR C/MALETIN  HOBBISTA;MARTINEZ ALEJANDRO;BAROVO;2;77271,84
ID-00005323;739;NIVEL LASER AUTONIVELANTE 30M;MARTINEZ ALEJANDRO;BAROVO;2;258147,21
ID-00005324;550;LAMPARA LED 11W FRIA;MARTINEZ ALEJANDRO;SIN RAMO;150;356309,33
ID-00005325;564;NIVEL LASER AUTONIVELANTE 45M 360º;MARTINEZ ALEJANDRO;BAROVO;2;94878,46
ID-00005326;;;;;0;0,00
ID-00005327;;;;;0;0,00
ID-00005328;380;BROCA ESCALONADA 4-20;MARTINEZ ALEJANDRO;BAROVO;1;2921,98
ID-00005329;381;BROCA ESCALONADA 4-32;MARTINEZ ALEJANDRO;BAROVO;2;10656,64
ID-00005330;535;CARGADOR ARRANCADOR 400 A 2000w;MARTINEZ ALEJANDRO;KUSHIRO;0;0,00
ID-00005331;7503;"TIJERA CORTA PERNO 14"" BREMEN";BREMEN TOOLS ARGENTINA S.A.;BREMEN;1;24,76
ID-00005332;33;PROYECTOR SOLAR 50W LUZ DIA;MARTINEZ ALEJANDRO;SIXELECTRIC;3;94955,82
